table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
LOCALE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
LOCALE,NAME,,,YES,varchar,varchar(45),,,
LOCALE,FULLNAME,,,YES,varchar,varchar(100),,,
LOCALE,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
MEASURE_TYPE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
MEASURE_TYPE,NAME,,,NO,varchar,varchar(100),,,
MEASURE_TYPE,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
MEASURE_UNIT,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
MEASURE_UNIT,NAME,,,NO,varchar,varchar(45),,,
MEASURE_UNIT,SYMBOL,,,NO,varchar,varchar(5),,,
MEASURE_UNIT,MEASURE_TYPEID,MUL,,YES,int,int(10) unsigned,,MEASURE_TYPE,ID
MEASURE_UNIT,SYSTEM_TYPE,,,NO,enum,"enum('Metric','Imperial')",,,
MEASURE_UNIT,BASE_SI,,,NO,tinyint,tinyint(1),,,
MEASURE_UNIT,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
MEDICAL_HISTORY,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
MEDICAL_HISTORY,FORPARENT,,1,NO,tinyint,tinyint(1),,,
MEDICAL_HISTORY,QUESTION,,,NO,varchar,varchar(250),,,
MEDICAL_HISTORY,PARENTID,MUL,,YES,int,int(10) unsigned,,MEDICAL_HISTORY,ID
MEDICAL_HISTORY,QUESTION_TYPEID,MUL,1,NO,int,int(10) unsigned,,QUESTION_TYPE,ID
MEDICAL_HISTORY,LOCALEID,MUL,,NO,int,int(10) unsigned,,LOCALE,ID
MEDICAL_HISTORY,ENGLISHID,,,YES,int,int(11),,,
MEDICAL_HISTORY,APPLANGACODE,,,YES,varchar,varchar(250),,,
MEDICAL_HISTORY_OPTION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
MEDICAL_HISTORY_OPTION,LABEL,,,NO,varchar,varchar(250),,,
MEDICAL_HISTORY_OPTION,MEDICAL_HISTORYID,MUL,,YES,int,int(10) unsigned,,MEDICAL_HISTORY,ID
MEDICAL_HISTORY_OPTION,LOCALEID,MUL,,NO,int,int(10) unsigned,,LOCALE,ID
MEDICAL_HISTORY_OPTION,ENGLISHID,,,YES,int,int(11),,,
MEDICAL_HISTORY_OPTION,APPLANGACODE,,,YES,varchar,varchar(250),,,
MEDICAL_HISTORY_RESPONSE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
MEDICAL_HISTORY_RESPONSE,RESPONDENTID,,,YES,int,int(10) unsigned,,,
MEDICAL_HISTORY_RESPONSE,QUESTION_NAME,,,YES,varchar,varchar(250),,,
MEDICAL_HISTORY_RESPONSE,ISPARENT,,0,NO,tinyint,tinyint(1),,,
